,URL,DB_name,Updated_date,Extracted_URLs
30,https://dbdb.io/db/amisa-server,Amisa Server,"Sept. 28, 2023, 9:26 p.m.","['N/A', '/browse?data-model=document-xml', 'http://www.amisalabs.com/', 'https://twitter.com/AMISALABS', 'N/A', '/browse?country=CA', 'N/A', 'N/A', '/browse?type=commercial', '/browse?os=hosted']"
31,https://dbdb.io/db/ancelusdb,AncelusDB,"Jan. 6, 2022, 10:53 p.m.","['N/A', '/browse?data-model=entity-relationship', '/browse?query-interface=sql', '/browse?storage-architecture=in-memory', 'https://ancelus.com/', 'https://twitter.com/Ancelus', 'N/A', '/browse?country=US', 'N/A', '/browse?type=commercial', '/browse?license=proprietary']"
32,https://dbdb.io/db/angstromdb,AngstromDB,"Oct. 3, 2023, 7:15 a.m.","['/db/lmdb', 'N/A', '/browse?data-model=keyvalue', 'https://github.com/Amaury/AngstromDB', 'https://github.com/Amaury/AngstromDB', 'N/A', '/browse?country=FR', 'N/A', 'N/A', '/browse?type=hobby', '/browse?programming=c', '/browse?derived=lmdb', '/browse?os=linux', '/browse?license=apache-v2']"
33,https://dbdb.io/db/annadb,AnnaDB,"April 6, 2023, 7:41 a.m.","['https://github.com/roman-right/tyson', '/browse?data-model=document-xml', '/browse?query-interface=custom-api', '/browse?storage-architecture=in-memory', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?system-architecture=shared-everything', 'https://annadb.dev', 'https://github.com/Anna-Team/AnnaDB', 'https://annadb.dev/documentation/introduction/', 'N/A', '/browse?country=DE', 'N/A', '/browse?type=hobby', '/browse?programming=rust', '/browse?supported=python', '/browse?os=linux', '/browse?license=apache-v2']"
34,https://dbdb.io/db/anndb,AnnDB,"Sept. 21, 2023, 8:32 p.m.","['N/A', '/browse?data-model=vector', '/browse?indexes=hnsw', '/browse?query-interface=http-rest', '/browse?system-architecture=shared-nothing', 'https://anndb.com/', 'https://github.com/marekgalovic/anndb', 'https://docs.anndb.com/', 'N/A', '/browse?country=CZ', 'N/A', '/browse?type=commercial', '/browse?programming=go-lang', '/browse?license=apache-v2']"
35,https://dbdb.io/db/antdb,AntDB,"Feb. 15, 2023, 8:46 p.m.","['N/A', '/browse?data-model=object-relational', '/browse?query-interface=sql', 'https://www.asiainfo.com/en_us/product_aisware_antDB.html', 'https://github.com/ADBSQL/AntDB', 'https://adbsql.github.io/docs/', 'N/A', '/browse?country=CN', '/browse?type=commercial', '/browse?programming=c', '/browse?derived=postgresql', '/browse?compatible=oracle-rdbms', '/browse?license=apache-v2']"
36,https://dbdb.io/db/antidote,Antidote,"Jan. 2, 2022, 8:30 p.m.","['N/A', '/browse?data-model=keyvalue', '/browse?query-interface=sql', 'https://www.antidotedb.eu/', 'https://github.com/AntidoteDB/antidote', 'https://antidotedb.gitbook.io/documentation/', 'N/A', '/browse?country=FR', 'N/A', '/browse?type=academic', '/browse?programming=erlang', '/browse?license=apache-v2']"
37,https://dbdb.io/db/anzograph,AnzoGraph,"Jan. 2, 2022, 8:27 p.m.","['N/A', '/browse?data-model=graph', '/browse?query-interface=sparql', '/browse?storage-architecture=in-memory', 'https://www.cambridgesemantics.com/product/anzograph/', 'https://twitter.com/CamSemantics', 'N/A', '/browse?country=US', 'N/A', '/browse?type=commercial', '/browse?license=proprietary']"
38,https://dbdb.io/db/aodbm,AODBM,"June 3, 2018, 10:45 p.m.","['N/A', 'https://github.com/DanielWaterworth/AODBM', 'https://github.com/DanielWaterworth/AODBM', 'N/A', '/browse?country=GB', 'N/A', 'N/A', '/browse?type=open-source', '/browse?programming=c', '/browse?license=lgpl-v3']"
39,https://dbdb.io/db/apollo-facebook,Apollo,"June 1, 2018, 9:21 p.m.","['N/A', 'N/A', '/browse?data-model=document-xml', 'N/A', '/browse?country=US', 'N/A', '/browse?type=commercial']"
